turns, p
1, 0.000927
2, 0.004261
3, 0.009774
4, 0.01658
5, 0.022487
6, 0.027538
7, 0.032532
8, 0.037084
9, 0.040615
10, 0.04364
11, 0.045083
12, 0.04448
13, 0.0425
14, 0.040629
15, 0.037451
16, 0.03488
17, 0.032272
18, 0.030049
19, 0.028203
20, 0.026159
21, 0.024802
22, 0.023189
23, 0.021561
24, 0.020361
25, 0.019082
26, 0.018073
27, 0.016888
28, 0.016178
29, 0.014676
30, 0.013982
31, 0.013153
32, 0.012431
33, 0.011458
34, 0.010896
35, 0.009998
36, 0.00958
37, 0.00899
38, 0.008379
39, 0.008063
40, 0.007364
41, 0.007165
42, 0.006569
43, 0.006091
44, 0.005724
45, 0.005466
46, 0.00518
47, 0.00475
48, 0.00432
49, 0.004149
50, 0.003984
51, 0.003676
52, 0.003474
53, 0.003258
54, 0.003147
55, 0.002864
56, 0.002754
57, 0.002585
58, 0.002478
59, 0.002268
60, 0.00214
61, 0.001961
62, 0.001854
63, 0.001745
64, 0.001655
65, 0.001464
66, 0.001423
67, 0.001343
68, 0.001279
69, 0.001183
70, 0.001099
71, 0.001035
72, 0.000959
73, 0.000904
74, 0.000811
75, 0.000835
76, 0.000799
77, 0.00068
78, 0.000634
79, 0.000626
80, 0.000575
81, 0.000565
82, 0.000498
83, 0.000427
84, 0.000452
85, 0.000421
86, 0.000404
87, 0.000383
88, 0.00038
89, 0.000347
90, 0.000277
91, 0.000301
92, 0.000271
93, 0.00022
94, 0.00025
95, 0.000243
96, 0.000212
97, 0.000201
98, 0.000187
99, 0.000182
100, 0.000182
101, 0.000149
102, 0.000136
103, 0.000129
104, 0.000124
105, 0.000113
106, 0.000108
107, 0.000104
108, 0.000097
109, 0.000086
110, 0.000086
111, 0.000074
112, 0.000069
113, 0.000064
114, 0.000066
115, 0.000066
116, 0.000053
117, 0.00007
118, 0.000042
119, 0.000055
120, 0.000062
121, 0.000046
122, 0.000036
123, 0.000031
124, 0.00003
125, 0.000025
126, 0.00003
127, 0.000037
128, 0.000028
129, 0.000034
130, 0.000027
131, 0.000026
132, 0.000025
133, 0.000025
134, 0.000016
135, 0.000017
136, 0.00002
137, 0.000018
138, 0.000014
139, 0.000013
140, 0.000007
141, 0.00001
142, 0.000006
143, 0.00001
144, 0.000008
145, 0.000005
146, 0.000007
147, 0.00001
148, 0.000011
149, 0.000009
150, 0.000005
151, 0.000002
152, 0.000009
153, 0.000007
154, 0.000006
155, 0.000005
156, 0.000006
157, 0.000008
158, 0.000002
159, 0.000006
160, 0.000002
161, 0.000005
162, 0.000002
163, 0.000007
164, 0.000001
165, 0.000001
166, 0.000001
167, 0.000001
168, 0.000004
169, 0.000002
170, 0
171, 0.000002
172, 0.000001
173, 0.000003
174, 0.000001
175, 0
176, 0.000001
177, 0.000002
178, 0.000002
179, 0.000001
180, 0
181, 0.000001
182, 0
183, 0.000001
184, 0.000003
185, 0.000002
186, 0.000001
187, 0
188, 0
189, 0
190, 0
191, 0
192, 0.000002
193, 0
194, 0
195, 0.000001
196, 0
197, 0
198, 0
199, 0
200, 0
201, 0.000001
202, 0
203, 0
204, 0
205, 0
206, 0
207, 0
208, 0
209, 0
210, 0
211, 0.000001
212, 0
213, 0
214, 0
215, 0
216, 0
217, 0
218, 0
219, 0
220, 0
221, 0
222, 0
223, 0
224, 0
225, 0
226, 0
227, 0
228, 0
229, 0
230, 0
231, 0
232, 0
233, 0
234, 0
235, 0
236, 0
237, 0
238, 0
239, 0
240, 0
241, 0
242, 0
243, 0
244, 0
245, 0
246, 0
247, 0
248, 0
249, 0
250, 0
251, 0
252, 0
253, 0
254, 0.000001
