turns, p
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0.000497
8, 0.005131
9, 0.020087
10, 0.039143
11, 0.044052
12, 0.034605
13, 0.023556
14, 0.018397
15, 0.017195
16, 0.017118
17, 0.017595
18, 0.018064
19, 0.018432
20, 0.018053
21, 0.016974
22, 0.015904
23, 0.014968
24, 0.014143
25, 0.013792
26, 0.013869
27, 0.013812
28, 0.013468
29, 0.013494
30, 0.013431
31, 0.012935
32, 0.012581
33, 0.011992
34, 0.011688
35, 0.011692
36, 0.011152
37, 0.011006
38, 0.010931
39, 0.010883
40, 0.010306
41, 0.010309
42, 0.00989
43, 0.009805
44, 0.009384
45, 0.009261
46, 0.009192
47, 0.008919
48, 0.00867
49, 0.00836
50, 0.008226
51, 0.007891
52, 0.007869
53, 0.007671
54, 0.007531
55, 0.007343
56, 0.007208
57, 0.007017
58, 0.007014
59, 0.006689
60, 0.006535
61, 0.006429
62, 0.006142
63, 0.006193
64, 0.005907
65, 0.005892
66, 0.005706
67, 0.005526
68, 0.0055
69, 0.005326
70, 0.005231
71, 0.005173
72, 0.005012
73, 0.004932
74, 0.00465
75, 0.004571
76, 0.004588
77, 0.004497
78, 0.00442
79, 0.004215
80, 0.004178
81, 0.003952
82, 0.003994
83, 0.003853
84, 0.003864
85, 0.003696
86, 0.003725
87, 0.00361
88, 0.003422
89, 0.003333
90, 0.003243
91, 0.003295
92, 0.003174
93, 0.003061
94, 0.003023
95, 0.003005
96, 0.002919
97, 0.002703
98, 0.002837
99, 0.002704
100, 0.002713
101, 0.002553
102, 0.002548
103, 0.002439
104, 0.002459
105, 0.002326
106, 0.002244
107, 0.002239
108, 0.002221
109, 0.002226
110, 0.00217
111, 0.002045
112, 0.002032
113, 0.00188
114, 0.001871
115, 0.001849
116, 0.001864
117, 0.001723
118, 0.001705
119, 0.001796
120, 0.001642
121, 0.001642
122, 0.001652
123, 0.001512
124, 0.00156
125, 0.001494
126, 0.001436
127, 0.001413
128, 0.001322
129, 0.001357
130, 0.001336
131, 0.001336
132, 0.001327
133, 0.001191
134, 0.001206
135, 0.001181
136, 0.001163
137, 0.001166
138, 0.001106
139, 0.001015
140, 0.001069
141, 0.001066
142, 0.000976
