turns, p
1, 0.001094
2, 0.003772
3, 0.008184
4, 0.013438
5, 0.019665
6, 0.025858
7, 0.030193
8, 0.03178
9, 0.030808
10, 0.029521
11, 0.027729
12, 0.026397
13, 0.025147
14, 0.024177
15, 0.023952
16, 0.023011
17, 0.022133
18, 0.021321
19, 0.020781
20, 0.020047
21, 0.019243
22, 0.018746
23, 0.018198
24, 0.017589
25, 0.016722
26, 0.015984
27, 0.015678
28, 0.015261
29, 0.014756
30, 0.014318
31, 0.013724
32, 0.013174
33, 0.012726
34, 0.012341
35, 0.011979
36, 0.011633
37, 0.011073
38, 0.010897
39, 0.010544
40, 0.010035
41, 0.009525
42, 0.009312
43, 0.009014
44, 0.008786
45, 0.008527
46, 0.008133
47, 0.007832
48, 0.007561
49, 0.007433
50, 0.007065
51, 0.006797
52, 0.006653
53, 0.006417
54, 0.006156
55, 0.005972
56, 0.005768
57, 0.005552
58, 0.005367
59, 0.005229
60, 0.005103
61, 0.004903
62, 0.004838
63, 0.004499
64, 0.004522
65, 0.004222
66, 0.004105
67, 0.003988
68, 0.003824
69, 0.00376
70, 0.003515
71, 0.003371
72, 0.003371
73, 0.003288
74, 0.00311
75, 0.003005
76, 0.002914
77, 0.002839
78, 0.002752
79, 0.002702
80, 0.002535
81, 0.002405
82, 0.002291
83, 0.002319
84, 0.002201
85, 0.002136
86, 0.002014
87, 0.001921
88, 0.001893
89, 0.001796
90, 0.00178
91, 0.001722
92, 0.001662
93, 0.001602
94, 0.001565
95, 0.001519
96, 0.001516
97, 0.001378
98, 0.001386
99, 0.001357
100, 0.001299
101, 0.001257
102, 0.001201
103, 0.001127
104, 0.0011
105, 0.001078
106, 0.000971
107, 0.000989
108, 0.001004
109, 0.000941
110, 0.000931
111, 0.000874
112, 0.0008
113, 0.000818
114, 0.000824
115, 0.000695
116, 0.000723
117, 0.00074
118, 0.000656
119, 0.00069
120, 0.000664
121, 0.000614
122, 0.000602
123, 0.000595
124, 0.000559
125, 0.000532
126, 0.000476
127, 0.000501
128, 0.000496
129, 0.000487
130, 0.000437
131, 0.000452
132, 0.000444
133, 0.000444
134, 0.000406
135, 0.000362
136, 0.000354
137, 0.000359
138, 0.000362
139, 0.000303
140, 0.000301
141, 0.000301
142, 0.000268
143, 0.000282
144, 0.000276
145, 0.000273
146, 0.000261
147, 0.000219
148, 0.00025
149, 0.000245
150, 0.000243
151, 0.000234
152, 0.000219
153, 0.000189
154, 0.000216
155, 0.000198
156, 0.000181
157, 0.000163
158, 0.000169
159, 0.000167
160, 0.000159
161, 0.000158
162, 0.000172
163, 0.000155
164, 0.000137
165, 0.000143
166, 0.00013
167, 0.000129
168, 0.000129
169, 0.000114
170, 0.000103
171, 0.000107
172, 0.000125
173, 0.000116
174, 0.000111
175, 0.000091
176, 0.000096
177, 0.000102
178, 0.000097
179, 0.000092
180, 0.000073
181, 0.000079
182, 0.000088
183, 0.00008
184, 0.00008
185, 0.000065
186, 0.000061
187, 0.000047
188, 0.000069
189, 0.000049
190, 0.000064
191, 0.000058
192, 0.000052
193, 0.000054
194, 0.000033
195, 0.000045
196, 0.000048
197, 0.000044
198, 0.000044
199, 0.000044
200, 0.000041
201, 0.000028
202, 0.000033
203, 0.000042
204, 0.00004
205, 0.000028
206, 0.000033
207, 0.000022
208, 0.000026
209, 0.000024
210, 0.000032
211, 0.000027
212, 0.000025
213, 0.000038
214, 0.000032
215, 0.00002
216, 0.000024
217, 0.000028
218, 0.00003
219, 0.000012
220, 0.000023
221, 0.000015
222, 0.000023
223, 0.00002
224, 0.000017
225, 0.000017
226, 0.000023
227, 0.000015
228, 0.000011
229, 0.000015
230, 0.00001
231, 0.00001
232, 0.000017
233, 0.000014
234, 0.00001
235, 0.00001
236, 0.00001
237, 0.00001
238, 0.000014
239, 0.000008
240, 0.000011
241, 0.000009
242, 0.000014
243, 0.000007
244, 0.000005
245, 0.000013
246, 0.000008
247, 0.00001
248, 0.00001
249, 0.000005
250, 0.00001
251, 0.00001
252, 0.000008
253, 0.000007
254, 0.000006
255, 0.000008
256, 0.000005
257, 0.000005
258, 0.000006
259, 0.000004
260, 0.000004
261, 0.000003
262, 0.000005
263, 0.000006
264, 0.000003
265, 0.000008
266, 0.000002
267, 0.000006
268, 0.000003
269, 0.000007
270, 0.000005
271, 0.000008
272, 0.000002
274, 0.000004
276, 0.000006
277, 0.000001
279, 0.000001
280, 0.000003
281, 0.000006
282, 0.000003
283, 0.000001
284, 0.000003
285, 0.000004
286, 0.000001
288, 0.000002
289, 0.000003
290, 0.000001
291, 0.000001
293, 0.000001
297, 0.000002
298, 0.000001
299, 0.000002
308, 0.000001
311, 0.000001
312, 0.000002
313, 0.000001
314, 0.000002
315, 0.000002
316, 0.000001
317, 0.000001
318, 0.000002
319, 0.000001
320, 0.000003
322, 0.000001
323, 0.000002
324, 0.000002
325, 0.000001
326, 0.000001
328, 0.000001
331, 0.000001
337, 0.000001
342, 0.000001
343, 0.000001
347, 0.000001
359, 0.000001
407, 0.000001
